song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
Ella Baila Sola,170,18.96470588235294,1,50,15.256347643001167,89.67647058823529,2.7611833333333333,0.31716417910447764,0.8103529411764706,0.48629205359497496,0.99,0.6412601974578294
Like That,169,19.37869822485207,1,50,14.701749837869453,90.9585798816568,4.461766666666667,0.31529850746268656,0.8062130177514792,0.5049663330635372,0.99,0.6410256671313117
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",29,4.551724137931035,2,14,3.1462699786135837,85.93103448275862,4.26525,0.054104477611940295,0.9544827586206897,0.8940595791751753,0.98,0.638411490598938
FE!N,3,2.3333333333333335,2,3,0.5773502691896258,57.0,3.195,0.005597014925373134,0.9766666666666667,0.9805596052160065,0.98,0.6378482490788147
Pink Skies,177,22.062146892655367,7,50,10.871228809072557,86.79661016949153,3.248666666666667,0.3302238805970149,0.7793785310734463,0.6339466852035351,0.9299999999999999,0.637755512605015
luther (with sza),4,2.75,2,3,0.5,51.5,2.959966666666667,0.007462686567164179,0.9725,0.9831641242574631,0.98,0.6373033527242538
wacced out murals,4,3.5,2,4,1.0,70.75,5.284866666666667,0.007462686567164179,0.965,0.9663282485149263,0.98,0.6329947651500001
Agora Hills,175,22.474285714285713,6,50,12.66718865055316,81.62857142857143,4.422666666666666,0.32649253731343286,0.7752571428571429,0.573473571744028,0.94,0.6309597452341043
tv off (feat. lefty gunplay),4,3.25,2,6,1.8929694486000912,69.25,3.678166666666667,0.007462686567164179,0.9675,0.9362604031579007,0.98,0.6308629806142976
IDGAF (feat. Yeat),150,20.126666666666665,1,49,13.474458396639692,91.20666666666666,4.335183333333333,0.2798507462686567,0.7987333333333333,0.5462913854723838,0.99,0.6301335664079348
Parade on Cleveland (feat. Drake),1,4.0,4,4,0.0,73.0,3.8044333333333333,0.0018656716417910447,0.96,1.0,0.96,0.6286529850746269
